"ISO","Cases_Resistance_1","Cases_Resilience_1","Cases_Reduction_1","Cases_R2_fit_1","Tests_Resistance_1","Tests_Resilience_1","Tests_Reduction_1","Tests_R2_fit_1","Deaths_Resistance_1","Deaths_Resilience_1","Deaths_Reduction_1","Deaths_R2_fit_1","Cases_Resistance_2","Cases_Resilience_2","Cases_Reduction_2","Cases_R2_fit_2","Tests_Resistance_2","Tests_Resilience_2","Tests_Reduction_2","Tests_R2_fit_2","Deaths_Resistance_2","Deaths_Resilience_2","Deaths_Reduction_2","Deaths_R2_fit_2"
"DNK",-3.96533063499328e-05,0.0270110221909909,0.902124695228143,0.968853027859838,-0.111440918416343,0.0407748532028442,0.985786351418573,0.963577992835609,-2.26511398167502e-06,0.0441602843491105,0.981707317073171,0.988008802328874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOM",NA,NA,NA,NA,-0.301066024759285,0.00941494964840572,0.421024562347151,0.910681176589237,-8.55464797623578e-07,0.0142746365072121,0.495689655172414,0.938635331964268,-0.000121627182541438,0.0124473966426452,0.688828255267546,0.910133622031123,-0.390689494275152,0.0149837503119521,0.691653658906654,0.939617190455424,-0.390689494275152,0.0284451242107245,0.862348178137652,0.946689801819424
"DZA",-3.39239365412586e-06,0.0257762046211098,0.219682710406023,0.978247655686229,NA,NA,NA,NA,-3.46628015210493e-07,0.0443560494747072,0.615789473684211,0.943173563014907,-1.32056152005324e-05,0.0206826356197051,0.727084340678317,0.983511361921211,NA,NA,NA,NA,NA,0.00785796889876476,0.415094339622642,0.96052816001233
"ECU",-6.10234279087641e-05,0.0454191392893774,0.751448952296032,0.815924634133348,-0.995539568345324,0.0364984421722988,0.767346143723866,0.869588560100518,-5.42536272052581e-06,0.0341145998182587,0.619724195570414,0.936806489884643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EGY",-1.45667532745562e-05,0.028449657432282,0.919311991842649,0.871259875603144,NA,NA,NA,NA,-8.13020817642333e-07,0.0187912268641025,0.873076923076923,0.90661497399385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERI",-4.28600391323436e-07,0.110941461950286,1,0.951963856086332,NA,NA,NA,NA,NA,NA,NA,NA,-1.98509654928749e-06,0.0383358281536391,0.863636363636364,0.923881498727791,NA,NA,NA,NA,NA,NA,NA,NA
"ESH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESP",-0.000133616276221408,0.0450179497796487,0.949686259444231,0.96953706700685,NA,NA,NA,NA,-1.51351360137849e-05,0.0514036729761679,0.982929173025832,0.919272570141484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EST",-3.44656282250277e-05,0.0335105738000325,0.978127734033246,0.845221815252905,-0.0646832088653337,0.0312496897561585,0.979682538563775,0.914761009202245,-1.32676084155837e-06,0.050577097871339,1,0.928896373510275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETH",-1.16746535291963e-05,0.0126468442504406,0.678071168862133,0.88827594273675,-0.096489529893847,0.0083817764409066,0.174836230253675,0.752084256031764,-1.60050683180255e-07,0.0122436786693332,0.606521739130435,0.903777275629503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIN",-2.29356556316347e-05,0.0423584486258022,0.952785646836638,0.978637675905154,-0.0616006987541948,0.0334575411062815,0.974178776182078,0.9639284722177,-1.4655140362675e-06,0.069101329266064,0.995073891625616,0.986836316790403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FJI",-7.13931935514098e-07,0.0922449741760317,1,0.877069990225384,-0.0257731958762887,0.101101977305379,1,0.853995223326784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FRA",-7.95618290004068e-05,0.0414080890989771,0.926073695236922,0.876528289859753,NA,NA,NA,NA,-1.17946771425444e-05,0.0425497397697208,0.990388112433106,0.975061599969208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GAB",-4.58995888086954e-05,0.0273865819842233,0.945184025058731,0.905749043789772,NA,NA,NA,NA,-4.49291198205711e-07,0.0342099014944423,1,0.910680857354071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GBR",-6.91795027440413e-05,0.0286424868668939,0.879335309348596,0.982888040205308,-0.264115375011529,0.0422482789480643,0.980360310264779,0.972529322641806,-1.25103843201612e-05,0.0388397773531459,0.990062170308968,0.989288509556698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GEO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GHA",-2.02800217359507e-05,0.0350398907251972,0.938301383775549,0.945034001304438,-0.221503651627875,0.0307699859609091,0.894739871243204,0.96178034968827,-1.22292882119799e-07,0.0294400686213259,1,0.922259418531871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GMB",-3.90455603261355e-05,0.053867197728444,0.982619754133107,0.976873092829511,NA,NA,NA,NA,-1.44000158896727e-06,0.03587482596362,0.98631636562671,0.890816807784705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GNB",-2.14634364465818e-05,0.018909646876917,0.992424242424242,0.889078294357724,NA,NA,NA,NA,-3.25203582523966e-07,0.00300501855240117,0.9375,0.0126201325979384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GNQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRC",-6.62761478015661e-06,0.0422569534469588,0.868558193398958,0.984808935466962,-0.0737803519714859,0.0606118554377385,0.966279256792734,0.994580900697769,-3.64576377599814e-07,0.0299388994208294,0.968421052631579,0.966927143912208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
